city,mean,max
Dhaka,0.00017007857270117706,0.0002504003189784338
Chittagong,6.912303024846776e-05,0.0001355894869598379
Khulna,3.987506765871801e-05,4.9339414078938946e-05
Rajshahi,5.785210140833873e-05,6.40189975880545e-05
Sylhet,3.779097618908036e-05,5.39656969620893e-05
Rangpur,3.886506172329465e-05,4.845662368303769e-05
Barishal,4.091487014964412e-05,4.4636129959984103e-05
Comilla,5.280445275351963e-05,5.908969910534173e-05
Gazipur,0.00018053025296462362,0.0002504003189784338
Narayanganj,0.0002009855350200545,0.0002435397617218743
