year,mean_radiance,max_radiance,sum_radiance
1992,14.506835407288028,63.0,23366.188235294136
1994,16.303803724596992,63.0,26260.56862745097
1996,17.160619289117644,63.0,27640.64313725491
1998,16.237500882577073,63.0,26153.774509803916
2000,17.47441378621914,63.0,28146.072549019616
2002,19.021898867623182,63.0,30638.609803921576
2004,18.427354776507137,63.0,29680.976470588233
2006,17.425593274397468,63.0,28067.437254901954
2008,19.091293772779633,63.0,30750.384313725513
2010,22.4255506672283,63.0,36120.8784313726
2012,23.47717351343588,63.0,37814.729411764725
2014,3.245058271486661,49.55314254760742,5226.821720742921
2016,3.5899137846003266,49.90208435058594,5782.281171902383
2018,4.3196631703533015,51.26625061035156,6957.689938415848
2020,4.380528731178824,46.332496643066406,7055.726216581754
2022,5.92532403071426,62.07749938964844,9543.931034553872
2024,6.500913829050135,62.07749938964844,10471.034651340913
